LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,3,1,0,0.03,1,64,1, ,id hit ratio debug,log, , ,log cach,org apach ibati cach decor,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.03,1,20,0, ,debug enabl,log, , ,log cach,org apach ibati cach decor,debug
Exception,CatchBlock, ,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,except, , , , ,transact cach,org apach ibati cach decor,warn
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,1,0,0.01,31,52,0, ,debug,log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.01,31,50,0, ,debug enabl,log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,2,1,0,0.01,31,52,0, ,real hash code debug,conn log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.01,31,49,0, ,debug enabl,log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,2,1,0,0.01,31,52,0, ,real hash code debug,conn log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.01,31,51,0, ,debug enabl,log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,2,1,0,0.01,31,52,0, ,real hash code debug,conn log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.01,31,50,0, ,debug enabl,log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,1,0,0.01,31,52,0, ,debug,log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.01,31,50,0, ,debug enabl,log, , ,pool data sourc,org apach ibati datasourc pool,debug
Exception,CatchBlock,debug,0,0,0,0,0,0,0,11,0,0,0,0,0.02,31,51,0,except, , , , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,2,1,0,0.01,31,52,0, ,real hash code debug,conn log, , ,pool data sourc,org apach ibati datasourc pool,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.01,31,50,0, ,debug enabl,log, , ,pool data sourc,org apach ibati datasourc pool,debug
